TREATMENT,TANK_NUM,NEP_rangemean,NEP_rangese,NEP_mean,NEP_se
Algae_Dom,1,1.1345205530702134,0.4472081129567477,0.49712598832623,0.9994114104797929
Algae_Dom,4,0.23852157734397017,0.6902121276592769,0.23892977989743797,0.5053600212234743
Algae_Dom,13,0.9475275333371004,0.5331175169657737,0.377532089719195,0.19557649658728593
Algae_Dom,14,0.5465988882623241,0.8164649037500759,0.24556691191743157,0.12073978182045585
Control,3,-0.14963297163453387,0.26775055910565626,-0.08469704786984417,0.0691800689906245
Control,8,-0.4479504550325809,0.8339400364479551,0.18828909907700164,0.10522759612857344
Control,11,-0.14150381209073892,0.2535063943723708,0.07841635819731135,0.0691980310562667
Control,15,-0.9335436239925097,1.1433639465190877,0.3242459175803058,0.16391845510592015
Coral_Dom,6,0.9251720130905365,0.2779052316744992,-0.060728912560353704,0.07290906100265294
Coral_Dom,7,-0.26052203982309907,1.2066910517434817,-0.25509151988176176,0.33677568910221567
Coral_Dom,9,1.1495066939042362,0.21023702405379427,0.23105751118027978,0.1562429734523626
Coral_Dom,16,1.1391091427058493,0.1388757623773228,0.41063780062304656,0.03480357787058216
Rubble_Dom,2,0.31580515352823224,0.07890791796494352,0.01726589300496152,0.12302372327312769
Rubble_Dom,5,0.44798022913708246,0.2539720730346695,0.030788735441486213,0.1269178200573548
Rubble_Dom,10,0.28388048528927967,0.057751178155392026,-0.004860426424082095,0.18770809859100768
Rubble_Dom,12,0.672878561178805,0.23119793345808845,0.20157132297253194,0.07328038165085886
