TREATMENT,TANK_NUM,grand_mean_pH,grand_mean_DOC,grand_range_pH,grand_range_DOC,grand_max_pH,grand_max_DOC,grand_min_pH,grand_min_DOC
Algae_Dom,1,8.048727460898185,154.09808970111112,0.6398674242650166,201.25526958999998,8.372365307932762,298.5893134,7.732497883667746,97.33404381
Algae_Dom,4,8.06294402696188,170.5741392777778,0.72560444520537,190.26506919999997,8.502124754309394,294.0100632,7.776520309104024,103.744994
Algae_Dom,13,8.064291325284263,111.37992235499999,0.3282052044506374,77.89235157999998,8.267160469479354,154.6995596,7.938955265028716,76.80720802
Algae_Dom,14,8.055577956320432,121.001898311,0.4195147471037579,91.70503518999999,8.306165883046305,174.2654466,7.886651135942547,82.56041141
Control,3,8.033550806834898,126.22479524555555,0.1179422100857348,123.67028285,8.08549451403567,207.7009111,7.967552303949935,84.03062825
Control,8,8.044884481172222,156.418728059,0.11144421627905032,404.39157073999996,8.10301937519909,477.96,7.991575158920039,73.56842926
Control,11,8.043922692383868,137.639007993,0.12384507632552832,133.04803213,8.105811728043252,203.7023931,7.981966651717723,70.65436097
Control,15,8.041795522138504,149.31345678,0.10656851741792117,295.98816059,8.09983787246137,375.8010219,7.993269355043449,79.81286131
Coral_Dom,6,8.046878408680655,109.69138936888889,0.34361340736346957,115.91053527999999,8.221314996877728,183.9720693,7.877701589514259,68.06153402
Coral_Dom,7,8.044442670630364,114.876873675,0.41354813621861286,103.13095821,8.314843239536442,180.9789049,7.901295103317829,77.84794669
Coral_Dom,9,8.049301491162165,119.990230935,0.45900811931144503,116.50306256,8.391187372366902,192.6004868,7.932179253055457,76.09742424
Coral_Dom,16,8.035965720923297,110.61615892,0.4061064160411423,81.08117485,8.205620974033588,155.6154096,7.799514557992445,74.53423475
Rubble_Dom,2,8.0419444785797,210.26749511,0.34019908292592316,361.75626181,8.249472085042173,458.81,7.90927300211625,97.05373819
Rubble_Dom,5,8.035356138152535,107.56030946888889,0.46005509323975335,72.98977857,8.240515522015079,147.0577624,7.780460428775325,74.06798383
Rubble_Dom,10,8.058964033460354,109.101606617,0.41685705163286,107.28489315000002,8.317070064766792,182.7231829,7.900213013133932,75.43828975
Rubble_Dom,12,8.066098513368267,123.22935660099999,0.38701753483285195,128.53330782,8.31943894736433,206.4561877,7.932421412531479,77.92287988
