Year,Taxonomy_Substrate_Functional_Group,mean_perc
2006,Coral,31.040000000000003
2006,Crustose Corallines,1.84
2006,Sand,14.72
2006,Turbinaria ornata,5.44
2011,Coral,17.44
2011,Crustose Corallines,14.479999999999999
2011,Sand,9.36
2011,Turbinaria ornata,4.56
2019,Coral,5.679999999999996
2019,Crustose Corallines,0.39999999999999997
2019,Sand,25.119999999999997
2019,Turbinaria ornata,14.72
2023,Coral,5.520000000000002
2023,Crustose Corallines,0.23999999999999988
2023,Sand,4.080000000000001
2023,Turbinaria ornata,7.12
